"vertlifeSpecies","ZIMSspecies","order"
"Camelus dromedarius","Camelus dromedarius","Artiodactyla"
"Lama glama","Lama glama","Artiodactyla"
"Rattus norvegicus","Rattus norvegicus","Rodentia"
"Didelphis virginiana","Didelphis virginiana","Didelphimorphia"
"Panthera onca","Panthera onca","Carnivora"
"Procavia capensis","Procavia capensis","Hyracoidea"
"Lama guanicoe","Lama guanicoe","Artiodactyla"
"Vicugna pacos","Vicugna pacos","Artiodactyla"
"Muntiacus reevesi","Muntiacus reevesi","Artiodactyla"
"Macropus giganteus","Macropus giganteus","Diprotodontia"
"Giraffa camelopardalis","Giraffa camelopardalis","Artiodactyla"
"Aepyceros melampus","Aepyceros melampus","Artiodactyla"
"Phacochoerus africanus","Phacochoerus africanus","Artiodactyla"
"Potamochoerus porcus","Potamochoerus porcus","Artiodactyla"
"Sus scrofa","Sus scrofa","Artiodactyla"
"Petaurus breviceps","Petaurus breviceps","Diprotodontia"
"Cercopithecus neglectus","Cercopithecus neglectus","Primates"
"Antilope cervicapra","Antilope cervicapra","Artiodactyla"
"Eudorcas thomsonii","Eudorcas thomsonii","Artiodactyla"
"Erythrocebus patas","Erythrocebus patas","Primates"
"Macaca fascicularis","Macaca fascicularis","Primates"
"Macaca fuscata","Macaca fuscata","Primates"
"Bison bison","Bison bison","Artiodactyla"
"Trachypithecus francoisi","Trachypithecus francoisi","Primates"
"Bos grunniens","Bos grunniens","Artiodactyla"
"Boselaphus tragocamelus","Boselaphus tragocamelus","Artiodactyla"
"Ateles geoffroyi","Ateles geoffroyi","Primates"
"Capra hircus","Capra hircus","Artiodactyla"
"Felis catus","Felis catus","Carnivora"
"Macaca leonina","Macaca leonina","Primates"
"Nomascus leucogenys","Nomascus leucogenys","Primates"
"Ovis aries","Ovis aries","Artiodactyla"
